datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,c_su,o2_c,bbp,chla_adj,sigma,poc,cphyto
2016-08-30 09:32:43,53.6147,-42.7039,138.0,3.675,34.772,-0.00366104054544,0.03104,2.566272,-0.049328122837,1.4,0.06,0.384,9.37478212144,0.000748732260814,0.00518965517241,27.640987499,12.1215941426,12.9795598054
2016-08-30 09:32:43,53.6147,-42.7039,140.0,3.676,34.773,-0.00366104054531,0.03492,2.566272,-0.049328122837,1.4,0.05,0.382,9.37431293489,0.000743157752136,0.00686206896552,27.6417014442,11.9241338962,12.8873162729
2016-08-30 09:32:43,53.6147,-42.7039,142.0,3.672,34.773,-0.00366104054582,0.03686,2.576704,-0.049328122837,1.4,0.07,0.384,9.36985707188,0.000709705717864,0.00769827586207,27.6421197751,10.7391959382,12.3337726353
2016-08-30 09:32:43,53.6147,-42.7039,144.0,3.674,34.774,-0.00366104054558,0.03686,2.576704,-0.0497412561941,1.4,0.06,0.383,9.36446654209,0.000691127585559,0.00769827586207,27.642733658,10.0811213357,12.0263531567
2016-08-30 09:32:43,53.6147,-42.7039,146.0,3.67,34.776,-0.00366104054603,0.03492,2.571488,-0.0497412561941,1.3,0.06,0.381,9.35907974315,0.000694829397906,0.00686206896552,27.6447444293,10.2122469326,12.087608465
2016-08-30 09:32:43,53.6147,-42.7039,148.0,3.674,34.777,-0.00366104054515,0.03492,2.592352,-0.0497412561941,1.4,0.05,0.382,9.35510059184,0.000750574293581,0.00686206896552,27.6451581504,12.1868426272,13.0100406279
2016-08-30 09:32:43,53.6147,-42.7039,150.0,3.688,34.78,-0.00366104054298,0.03298,2.576704,-0.0497412561941,1.4,0.05,0.381,9.35439859992,0.000767317859912,0.00602586206897,27.646161839,12.7799332338,13.28710284
2016-08-30 09:32:43,53.6147,-42.7039,152.0,3.693,34.781,-0.00366104054208,0.03492,2.571488,-0.0497412561941,1.4,0.04,0.382,9.34761594317,0.000672569485783,0.00686206896552,27.6464742431,9.42375632541,11.719265164
2016-08-30 09:32:43,53.6147,-42.7039,154.0,3.695,34.783,-0.00366104054205,0.03298,2.597568,-0.0501543895512,1.4,0.06,0.38,9.33663591514,0.000685574050815,0.00602586206897,27.6478836459,9.88440402798,11.9344566879
2016-08-30 09:32:43,53.6147,-42.7039,156.0,3.697,34.784,-0.00366104054155,0.03298,2.587136,-0.0497412561941,1.4,0.05,0.38,9.33500191869,0.000661422010271,0.00602586206897,27.648496797,9.02889044783,11.5348036124
2016-08-30 09:32:43,53.6147,-42.7039,158.0,3.702,34.788,-0.0036610405404,0.03298,2.58192,-0.0501543895512,1.4,0.06,0.379,9.33570216079,0.000696723129099,0.00602586206897,27.6511971508,10.2793266789,12.1189447611
2016-08-30 09:32:43,53.6147,-42.7039,160.0,3.711,34.791,-0.00366104053921,0.0291,2.587136,-0.0505675229083,1.4,0.06,0.38,9.33476851868,0.000694876234822,0.00435344827586,27.6526987197,10.2139059899,12.0883834934
2016-08-30 09:32:43,53.6147,-42.7039,162.0,3.71,34.792,-0.00366104053923,0.03492,2.576704,-0.0497412561941,1.4,0.05,0.381,9.32590451309,0.000873236264629,0.00686206896552,27.6536132728,16.5317749657,15.039775295
2016-08-30 09:32:43,53.6147,-42.7039,164.0,3.711,34.792,-0.00366104053909,0.03492,2.571488,-0.0501543895512,1.4,0.05,0.38,9.32240834792,0.000644708342318,0.00686206896552,27.6535305045,8.4368589016,11.2582361403
2016-08-30 09:32:43,53.6147,-42.7039,166.0,3.712,34.793,-0.00366104053871,0.03686,2.592352,-0.0497412561941,1.4,0.04,0.38,9.31961254951,0.00076175972308,0.00769827586207,27.6542439074,12.5830529109,13.1951302187
2016-08-30 09:32:43,53.6147,-42.7039,168.0,3.712,34.795,-0.00366104053905,0.06984,2.774912,-0.0497412561941,1.3,0.07,0.382,9.31512972643,0.00319755033286,0.0219137931034,27.6558540772,98.8636278906,53.5010913918
2016-08-30 09:32:43,53.6147,-42.7039,170.0,3.702,34.795,-0.00366104054046,0.0291,2.58192,-0.0501543895512,1.4,0.08,0.378,9.30285889162,0.000692987906116,0.00435344827586,27.6568772275,10.1470176104,12.0571365942
2016-08-30 09:32:43,53.6147,-42.7039,172.0,3.7,34.795,-0.00366104054064,0.03104,2.592352,-0.0509806562654,1.4,0.07,0.377,9.28730115255,0.000655824245748,0.00518965517241,27.6570959483,8.83060643289,11.4421752565
2016-08-30 09:32:43,53.6147,-42.7039,174.0,3.701,34.796,-0.00366104054027,0.03298,2.602784,-0.0505675229083,1.4,0.07,0.377,9.26275112796,0.000678119256948,0.00602586206897,27.6578095126,9.62034031962,11.8110993554
2016-08-30 09:32:43,53.6147,-42.7039,176.0,3.73,34.801,-0.00366104053556,0.0291,2.608,-0.0501543895512,1.4,0.06,0.377,9.24588927423,0.000583411404151,0.00435344827586,27.6588898027,6.26559875783,10.2439322014
2016-08-30 09:32:43,53.6147,-42.7039,178.0,3.757,34.806,-0.00366104053139,0.03298,2.613216,-0.0505675229083,1.4,0.06,0.377,9.25304528942,0.000583455542932,0.00602586206897,27.6601658995,6.26716224174,10.2446625827
2016-08-30 09:32:43,53.6147,-42.7039,180.0,3.754,34.805,-0.00366104053191,0.04074,2.602784,-0.0501543895512,1.4,0.03,0.381,9.26552646606,0.00062618513157,0.00937068965517,27.6596953615,7.78072973047,10.9517254697
2016-08-30 09:32:43,53.6147,-42.7039,182.0,3.736,34.804,-0.00366104053492,0.03298,2.613216,-0.0505675229083,1.4,0.05,0.38,9.27912845937,0.000568552273331,0.00602586206897,27.6607392846,5.73925862595,9.99805246632
2016-08-30 09:32:43,53.6147,-42.7039,184.0,3.715,34.801,-0.00366104053792,0.03104,2.58192,-0.0505675229083,1.4,0.05,0.378,9.27316378876,0.000605674812876,0.00518965517241,27.6604887089,7.05421322168,10.612333362
2016-08-30 09:32:43,53.6147,-42.7039,186.0,3.714,34.802,-0.00366104053799,0.03492,2.58192,-0.0509806562654,1.4,0.06,0.377,9.25512408533,0.000646545207317,0.00686206896552,27.6614075243,8.50192433359,11.2886314497
2016-08-30 09:32:43,53.6147,-42.7039,188.0,3.729,34.804,-0.00366104053474,0.03104,2.608,-0.0509806562654,1.4,0.05,0.377,9.22515128024,0.00058340099531,0.00518965517241,27.661511406,6.26523005587,10.2437599623
2016-08-30 09:32:43,53.6147,-42.7039,190.0,3.769,34.809,-0.00366104052811,0.03492,2.71232,-0.0509806562654,1.4,0.07,0.376,9.20016712228,0.000644785939133,0.00686206896552,27.6614726028,8.43960753597,11.2595201645
2016-08-30 09:32:43,53.6147,-42.7039,192.0,3.798,34.814,-0.0036610405244,0.02716,2.639296,-0.0505675229083,1.4,0.07,0.377,9.1881347825,0.000587237230367,0.00351724137931,27.662532589,6.40111717406,10.3072396147
2016-08-30 09:32:43,53.6147,-42.7039,194.0,3.837,34.819,-0.00366104051798,0.03298,2.618432,-0.0513937896225,1.3,0.07,0.377,9.18590227758,0.000633755984181,0.00602586206897,27.6625614443,8.04890447167,11.0770032708
2016-08-30 09:32:43,53.6147,-42.7039,196.0,3.847,34.821,-0.00366104051674,0.03104,2.623648,-0.0513937896225,1.4,0.05,0.377,9.19844706325,0.000511145924144,0.00518965517241,27.6631538952,3.70581092502,9.04812759504
2016-08-30 09:32:43,53.6147,-42.7039,198.0,3.802,34.817,-0.0036610405237,0.03298,2.618432,-0.0513937896225,1.3,0.06,0.377,9.2076251593,0.000581663623584,0.00602586206897,27.6645808577,6.20368887461,10.2150110062
2016-08-30 09:32:43,53.6147,-42.7039,200.0,3.782,34.816,-0.00366104052735,0.0291,2.623648,-0.0518069229796,1.4,0.07,0.375,9.21250547951,0.000518452677579,0.00435344827586,27.6658384015,3.9646307452,9.16903524576
2016-08-30 09:32:43,53.6147,-42.7039,202.0,3.781,34.816,-0.00366104052769,0.03298,2.613216,-0.0513937896225,1.4,0.07,0.377,9.22572658295,0.000589053323193,0.00602586206897,27.6659621388,6.46544681413,10.3372911991
2016-08-30 09:32:43,53.6147,-42.7039,204.0,3.763,34.814,-0.00366104053017,0.03104,2.623648,-0.0509806562654,1.4,0.06,0.377,9.24415897663,0.000546287014613,0.00518965517241,27.6662078592,4.95057863162,9.62962069315
2016-08-30 09:32:43,53.6147,-42.7039,206.0,3.735,34.811,-0.00366104053485,0.03492,2.602784,-0.0509806562654,1.4,0.05,0.377,9.26321361508,0.000557383042499,0.00686206896552,27.6666624066,5.34362213141,9.81323092113
2016-08-30 09:32:43,53.6147,-42.7039,208.0,3.698,34.807,-0.00366104054095,0.03104,2.58192,-0.0501543895512,1.4,0.05,0.38,9.26986492822,0.000562888482789,0.00518965517241,27.6672147704,5.53863583733,9.90433155254
2016-08-30 09:32:43,53.6147,-42.7039,210.0,3.693,34.807,-0.00366104054111,0.03298,2.597568,-0.0509806562654,1.4,0.06,0.378,9.26552646606,0.000564735697734,0.00602586206897,27.6677305549,5.60406788513,9.93489812652
2016-08-30 09:32:43,53.6147,-42.7039,212.0,3.701,34.808,-0.00366104053941,0.03492,2.587136,-0.0509806562654,1.4,0.07,0.377,9.2461200099,0.000596335603454,0.00686206896552,27.6677377393,6.72339974555,10.4577938828
2016-08-30 09:32:43,53.6147,-42.7039,214.0,3.717,34.812,-0.0036610405367,0.03298,2.608,-0.0513937896225,1.4,0.07,0.377,9.2196880461,0.000633518331905,0.00602586206897,27.6693281614,8.04048635273,11.0730707474
2016-08-30 09:32:43,53.6147,-42.7039,216.0,3.753,34.817,-0.00366104052981,0.03686,2.613216,-0.0513937896225,1.4,0.04,0.377,9.19873371304,0.000767355521424,0.00769827586207,27.6696924988,12.7812672799,13.2877260395
2016-08-30 09:32:43,53.6147,-42.7039,218.0,3.793,34.823,-0.00366104052466,0.0291,2.618432,-0.0509806562654,1.4,0.07,0.389,9.19644081387,0.000576053961288,0.00435344827586,27.6704304853,6.00498341675,10.1221857733
2016-08-30 09:32:43,53.6147,-42.7039,220.0,3.784,34.822,-0.00366104052589,0.03298,2.597568,-0.0509806562654,1.4,0.08,0.377,9.19701397456,0.000531446221763,0.00602586206897,27.6705623143,4.4248880673,9.38404440348
2016-08-30 09:32:43,53.6147,-42.7039,222.0,3.779,34.823,-0.00366104052657,0.03492,2.613216,-0.0518069229796,1.4,0.11,0.375,9.18452875078,0.000555586351234,0.00686206896552,27.6718796952,5.27997973342,9.78350038186
2016-08-30 09:32:43,53.6147,-42.7039,224.0,3.801,34.825,-0.00366104052255,0.03298,2.63408,-0.0513937896225,1.4,0.06,0.375,9.17554965021,0.000548196047673,0.00602586206897,27.6712526662,5.01820040066,9.66121019517
2016-08-30 09:32:43,53.6147,-42.7039,226.0,3.807,34.827,-0.0036610405221,0.03298,2.628864,-0.0518069229796,1.4,0.05,0.375,9.17012153164,0.000512901979993,0.00602586206897,27.6722488545,3.76801393531,9.0771857245
2016-08-30 09:32:43,53.6147,-42.7039,228.0,3.815,34.829,-0.00366104052045,0.03492,2.623648,-0.0518069229796,1.4,0.06,0.376,9.1466249902,0.000507339671383,0.00686206896552,27.6730409833,3.57098583975,8.98514407119
